Game ID,Date,Away Team,Away Score,Away Spread Open,Away Spread Open Odds,Away Spread Close,Away Spread Close Odds,Over Open,Over Open Odds,Over Close,Over Close Odds,Home Team,Home Score,Home Spread Open,Home Spread Open Odds,Home Spread Close,Home Spread Close Odds,Under Open,Under Open Odds,Under Close,Under Close Odds
66,20090910,Tennessee,10,5.5,-110,6.5,-116,35,-110,35.5,-106,Pittsburgh,13,-5.5,-110,-6.5,107,35,-110,35.5,-104
67,20090913,Miami,7,4,-110,4,-104,43,-110,44,-103,Atlanta,19,-4,-110,-4,-104,43,-110,44,-107
68,20090913,Kansas City,24,8.5,-110,13,-112,37.5,-110,36.5,-103,Baltimore,38,-8.5,-110,-13,104,37.5,-110,36.5,-107
69,20090913,Philadelphia,38,1,-110,-1,-120,44.5,-110,43.5,-103,Carolina,10,-1,-110,1,111,44.5,-110,43.5,-107
70,20090913,Denver,12,1,-110,4.5,-104,44.5,-110,41,-112,Cincinnati,7,-1,-110,-4.5,-104,44.5,-110,41,102
71,20090913,Minnesota,34,-2.5,-110,-4,-107,39.5,-110,39.5,100,Cleveland,20,2.5,-110,4,-101,39.5,-110,39.5,-110
72,20090913,N.Y. Jets,24,4,-110,4.5,-103,43,-110,44.5,101,Houston,7,-4,-110,-4.5,-105,43,-110,44.5,-111
73,20090913,Detroit,27,12,-110,14,-105,48.5,-110,50,105,New Orleans,45,-12,-110,-14,-103,48.5,-110,50,-115
74,20090913,Dallas,34,-3,-110,-4.5,101,42,-110,40,103,Tampa Bay,21,3,-110,4.5,-109,42,-110,40,-113
75,20090913,San Francisco,20,6.5,-110,5,-107,47,-110,45.5,-104,Arizona,16,-6.5,-110,-5,-101,47,-110,45.5,-106
76,20090913,Jacksonville,12,7,100,6,-110,44,-110,45,-110,Indianapolis,14,-7,-120,-6,-110,44,-110,45,-110
77,20090913,Washington,17,6,-105,6,-110,39.5,-110,37,-110,N.Y. Giants,23,-6,-115,-6,-110,39.5,-110,37,-110
78,20090913,St. Louis,0,7,-115,7,-110,43,-110,41,-110,Seattle,28,-7,-105,-7,-110,43,-110,41,-110
79,20090913,Chicago,15,3,-115,5,-110,43,-110,47,-110,Green Bay,21,-3,-105,-5,-110,43,-110,47,-110
80,20090914,Buffalo,24,9.5,-110,13,-110,46,-110,47.5,-110,New England,25,-9.5,-110,-13,-110,46,-110,47.5,-110
81,20090914,San Diego,24,-6.5,-125,-10,-110,43,-110,42,-110,Oakland,20,6.5,105,10,-110,43,-110,42,-110
82,20090920,St. Louis,7,9.5,-110,10,-114,38,-110,37,-105,Washington,9,-9.5,-110,-10,105,38,-110,37,-105
83,20090920,Arizona,31,4.5,-110,3,-104,43.5,-110,42.5,-110,Jacksonville,17,-4.5,-110,-3,-104,43.5,-110,42.5,100
84,20090920,Minnesota,27,-9.5,-110,-10,104,47.5,-110,45,-109,Detroit,13,9.5,-110,10,-113,47.5,-110,45,-101
85,20090920,Tampa Bay,20,4,-110,4.5,-109,42,-110,42,-103,Buffalo,33,-4,-110,-4.5,101,42,-110,42,-107
